LocationID	Name	Address	City	Prov	PostalCode	Phone	Fax	LocationType	LastModified	LastModifiedBy	Comment	Notes
095	#095 Fruitvale BCLS	PO Box 785  1952 Columbia Gardens Road	Fruitvale	BC	V0G 1L0	(250) 367-9112	(250) 367-9853	C	NULL	NULL	NULL	NULL
096	#096 Valemount BCLS	PO Box 460   1163 - 5th Ave	Valemount	BC	V0E 2Z0	(250) 566-4200	(250) 566-4148	C	NULL	NULL	NULL	NULL
097	#097 Royal Square BCLS	800 McBride Blvd	New Westminster	BC	V3L 2B8	(604) 660-8730	(604) 521-3957	B	2016-03-09 00:00:00.000	cameek	Secondary AP install	NULL
098	#098 Tsawwassen BCLS	1319 H 56th Street	Delta	BC	V4L 2A6	(604) 943-3322	(604) 943-7851	A	2014-05-28 00:00:00.000	Lrlee	CE	NULL
099	#099 Houston BCLS	PO Box 69   3232 Hwy 16	Houston	BC	V0J 1Z0	(250) 845-7444	(250) 845-7469	C	2014-05-14 00:00:00.000	cbdick	DVR	2014/05/14 - Added DVR - CD
101	#101 Pemberton BCLS	102 - 7445 Frontier St. RR1	Pemberton	BC	V0N 2L1	(604) 894-6534	(604) 894-5496	B	2014-06-16 00:00:00.000	cbdick	2nd WIC, Reg3 and PP for Reg3	LDBRR101 has 2 WIC cards.  Stacked between Fa0/0/3 and Fa0/1/3<br>
PP03101 is a Temporary Pinpad used during the Pentiction Music Fest.
105	#105 Masset BCLS	PO Box 379   2072 Collison	Masset	BC	V0T 1M0	(250) 626-5111	(250) 626-9318	C	NULL	NULL	NULL	NULL
100	#100 Wholesale Customer Centre BCLS	3100 East Broadway	Vancouver	BC	V5M 1Z6	(604) 775-0681	(604) 252-3470	A	2013-01-09 00:00:00.000	Lrlee                                                                                               	NEW Ips                                                                                             	NULL
102	#102 Dunbar BCLS	3453 Dunbar St	Vancouver	BC	V6S 2C3	(604) 224-4412	(604) 222-4973	A	2014-05-14 00:00:00.000	Lrlee	CE	NULL
107	#107 Westview BCLS	#770 - 2601 Westview Drive (Westview Plaze)	North Vancouver	BC	V7N 3X4	(604) 981-0026	(604) 983-3507	A	2013-10-02 00:00:00.000	M. Fan                                                                                              	New 2960 switch and wireless subnets                                                                	NULL
109	#109 Aldergrove BCLS	200 - 26310 Fraser Hwy	Aldergrove	BC	V4W 2Z7	(604) 856-7408	(604) 856-2043	A	2013-09-18 00:00:00.000	C. Dick                                                                                             	2960 Upgrade, Wireless Subnets                                                                      	NULL
110	#110 Ocean Park BCLS	12881 - 16th Ave	Surrey	BC	V4A 1N5	(604) 531-7711	(604) 531-8692	A	2013-10-03 00:00:00.000	M. Fan                                                                                              	AP port                                                                                             	NULL
111	#111 Commercial Drive BCLS	1520 Commercial Drive	Vancouver	BC	V5L 3Y2	(604) 660-9088	(604) 660-9732	A	2014-09-16 00:00:00.000	CAMEEK	CE Cutover	2015/12/03 - Network/Pinpad drops for Reg5 are stored in the ceiling beside REG 4
112	(CLOSED - Aug23-17) #112 Cardero BCLS	1655 Davie Street	Vancouver	BC	V6G 1W1	(604) 660-4570	(604) 681-8294	A	2013-10-09 00:00:00.000	M. Fan                                                                                              	Updated 2960 & wirelss subnets                                                                      	NULL
113	#113 Collingwood-Kingsway BCLS	3436 Kingsway	Vancouver	BC	V5R 5L4	(604) 660-5484	(604) 435-7413	A	2014-03-19 00:00:00.000	Lrlee                                                                                               	CE                                                                                                  	NULL
115	#115 Port McNeill BCLS	PO Box 490  1705 Campbell Way	Port McNeill	BC	V0N 2R0	(250) 956-4142	(250) 956-2029	C	2014-03-14 00:00:00.000	M. Fan                                                                                              	Alarm                                                                                               	NULL
117	#117 Broadway & Maple BCLS	2088 West Broadway	Vancouver	BC	V6J 1Z4	(604) 660-1703	(604) 734-0767	A	2013-10-15 00:00:00.000	C. Dick                                                                                             	2960 Upgrade, Wireless Subnets                                                                      	NULL
120	#120 Richmond Ironwood BCLS	3170 - 11666 Steveston Hwy	Richmond	BC	V7A 5J3	(604) 664-0701	(604) 664-0719	A	2014-07-08 00:00:00.000	C. Meek	CE	NULL
213	#213 Kitimat BCLS	550 Mountainview Square	Kitimat	BC	V8C 2N2	(250) 632-6616	(250) 632-3892	C	2016-05-25 00:00:00.000	cameek	CE Transition	NULL
214	#214 Lumby BCLS	PO Box 246  2080 Vernon St.	Lumby	BC	V0E 2G0	(250) 547-2322	(250) 547-9674	C	NULL	NULL	NULL	NULL
215	#215 Armstrong BCLS	Box 478  3495 Smith Drive	Armstrong	BC	V0E 1B0	(250) 546-9476	(250) 546-9746	C	2014-10-16 00:00:00.000	cbdick	CE Upgrade.	NULL
216	#216 Ucluelet BCLS	PO Box 130   234 Main Street	Ucluelet	BC	V0R 3A0	(250) 726-4411	(250) 726-2213	C	NULL	NULL	NULL	NULL
122	#122 Whalley BCLS	#101 - 10761 King George Blvd	Surrey 	BC	V3T 2X6	(604) 581-0511	(604) 581-9676	A	2014-05-21 00:00:00.000	Lrlee	CE	NULL
123	#123 Kingsgate Mall BCLS	#122 - 370 E Broadway	Vancouver	BC	V5T 4G5	(604) 660-6675	(604) 872-6895	A	2014-07-08 00:00:00.000	C. Meek	CE transition	NULL
124	#124 Gorge & Tillicum BCLS	2955 Tillicum Road	Victoria	BC	V9A 2A6	(250) 387-1600	(250) 388-4256	A	2013-09-26 00:00:00.000	C. Dick                                                                                             	2960 Upgrade, Wireless Subnets                                                                      	NULL
125	#125 Westshore  BCLS	Unit #600 - 2945 Jacklin Road	Langford	BC	V9B 5E3	(250) 391-2811	(250) 391-2809	S	2014-08-19 00:00:00.000	cbdick	Add MFD03125	NULL
127	#127 Fort Langley BCLS	PO Box 629  9110 Glover Road	Fort Langley	BC	V1M 2R9	(604) 888-5711	(604) 888-9363	B	2013-09-18 00:00:00.000	C. Dick                                                                                             	2960 Upgrade, Wireless Subnets                                                                      	NULL
128	#128 Port Alice BCLS	PO Box 160  1071 Marine Drive	Port Alice	BC	V0N 2N0	(250) 284-3436	(250) 284-3909	C	NULL	NULL	NULL	NULL
129	#129 Alberni & Bute BCLS	768 Bute Street	Vancouver	BC	V6E 4H6	(604) 660-4572	(604) 689-5975	S	2014-04-02 00:00:00.000	Lrlee	CE	Port 14 possibly bad. Moved WS 14 to port 17 2014/03/05.

LDBRR129 has 2 WIC cards.  Stacked between Fa0/1/8 and Fa0/3/8
130	#130 Penticton Plaza BCLS	#405 - 1301 Main St	Penticton	BC	V2A 5E9	(250) 492-1319	(250) 492-1375	A	NULL	NULL	NULL	NULL
131	#131 Elkford BCLS	PO Box 400   814 Michel Road	Elkford	BC	V0B 1H0	(250) 865-2466	(250) 865-7230	C	NULL	NULL	NULL	NULL
133	#133 Dollarton Village BCLS	411 North Dollarton Hwy	North Vancouver	BC	V7G 1M9	(604) 929-2112	(604) 929-9417	A	2013-10-11 00:00:00.000	M. Fan                                                                                              	Update 2960 & wireless subnet                                                                       	NULL
134	#134 Gabriola Island BCLS	548 North Road	Gabriola Island	BC	V0R 1X0	(250) 247-0271	(250) 247-0291	C	2015-06-02 00:00:00.000	cameek	SHAW AIG	2015/06/02 - Added AIG info - CM
135	#135 Vernon BCLS	Unit 245A   4900 27th Street	Vernon	BC	V1T 7G7	(250) 503-3610	(250) 503-3612	S	NULL	NULL	NULL	NULL
136	#136 Arbutus BCLS	#158 - 4255 Arbutus St	Vancouver	BC	V6J 4R1	(604) 660-1704	(604) 734-7953	C	2013-10-03 00:00:00.000	C. Dick                                                                                             	2960 Upgrade, Wireless Subnets                                                                      	NULL
137	#137 Kensington BCLS	6512 Hastings Street	Burnaby	BC	V5B 1S2	6046600322	6046600326	B	2014-07-28 00:00:00.000	cbdick	WS13 including PP	NULL
138	#138 Barriere BCLS	PO Box 390 4639 Barriere Town Road	Barriere	BC	V0E 1E0	(250) 672-9755	(250) 672-9351	C	NULL	NULL	NULL	NULL
139	#139 Logan Lake BCLS	PO Box 340  #10 - 150 Opal Drive	Logan Lake	BC	V0K 1W0	(250) 523-6712	(250) 523-9539	C	2015-03-18 00:00:00.000	cameek	CE Transition	NULL
154	#154 Prince George College Hts. BCLS	5242 Domano Blvd	Prince George	BC	V2N 4A1	(250) 964-4333	(250) 964-6920	B	NULL	NULL	NULL	NULL
155	#155 Pender Island BCLS	PO Box 106   Unit #6 - 4605 Bedwell Harbour Rd.	Pender Island	BC	V0N 2M0	(250) 629-3413	(250) 629-3027	C	NULL	NULL	NULL	NULL
994	#994 demo 3	NULL	NULL	NULL	NULL	NULL	NULL	S	2014-05-02 00:00:00.000	M. Fan	Demo	Demo
140	#140 Cedar Hill BCLS	3611 Shelbourne Street	Victoria	BC	V8P 4H1	(250) 952-4328	(250) 477-9384	B	2014-05-14 00:00:00.000	cbdick	SHAW AIG	2014/05/14 - Added AIG info -CD
143	#143 Kelowna Westbank BCLS	Unit #27 - 2475 Dobbin Road	Westbank	BC	V4T 2E9	(250) 768-7394	(250) 768-9851	A	2013-10-31 00:00:00.000	Lrlee                                                                                               	2Aps                                                                                                	NULL
145	#145 Scottsdale BCLS	7017 - 120th Street	North Delta	BC	V4E 2A9	(604) 591-3433	(604) 591-7849	A	2014-11-12 00:00:00.000	C. Dick                                                                                             	WS12 Pinpad	NULL
147	#147 Kamloops Westsyde BCLS	#19 - 3435 Westsyde Rd.	Kamloops	BC	V2B 7H1	(250) 579-9033	(250) 579-8953	C	2013-10-21 00:00:00.000	C. Dick                                                                                             	2960 Upgrade, Wireless Subnets                                                                      	NULL
148	#148 Kelowna Mission Park BCLS	#35 - 3155 Lakeshore Rd	Kelowna	BC	V1W 3S9	(250) 861-7260	(250) 861-7225	A	2014-07-09 00:00:00.000	cbdick	CE Upgrade	2014/05/14 - Added AIG info -CD<br>
2014/07/09 - Old TELUS router left on site after CE conversion. -CD
149	#149 Abbotsford BCLS	#40 - 32500 South Fraser Way	Abbotsford	BC	V2T 4W1	(604) 870-5919	(604) 870-5481	A	2013-09-30 00:00:00.000	C. Dick                                                                                             	2960 Upgrade, Wireless Subnets                                                                      	NULL
150	#150 James Bay BCLS	#101 - 225 Menzies St	Victoria	BC	V8V 2G6	(250) 953-3996	(250) 953-3998	B	2013-10-15 00:00:00.000	Lrlee                                                                                               	2960+AP                                                                                             	NULL
